Character_Name, Character_Type, Population,Aspect_Ratio,Japanese_Character
a,Hiragana,0;0;31.366459627329192;0;0;22.727272727272727;28.84012539184953;40.62968515742129;24.137931034482758;23.197492163009404;7.467532467532467;35.55194805194805;35.714285714285715;10.064935064935066;0;33.5423197492163;8.150470219435736;55.92203898050975;32.288401253918494;7.836990595611286;25.649350649350648;22.88961038961039;41.14906832298137;10.38961038961039;28.733766233766232,0.781690121,‚ 
a,Hiragana,0;0;28.749999999999996;0;0;15.138888888888888;20.666666666666668;42.083333333333336;20;12.5;23.75;24.53333333333333;41.66666666666667;21.46666666666667;0;26.52777777777778;2.8000000000000003;50.27777777777778;34.8;9.86111111111111;22.916666666666664;21.333333333333336;36.52777777777778;16.400000000000002;28.61111111111111,0.813333333,‚ 
a,Hiragana,0;0;27.972027972027973;0;0;18.181818181818183;23.076923076923077;46.15384615384615;23.745819397993312;21.328671328671327;14.160839160839162;24.91638795986622;46.32867132867133;42.14046822742475;0;34.79020979020979;0;45.45454545454545;29.93311036789298;31.11888111888112;37.58741258741259;26.254180602006688;39.33566433566433;18.896321070234116;19.58041958041958,0.86153847,‚ 
a,Hiragana,0;0;23.9247311827957;5.419354838709677;0;6.944444444444445;20;43.19444444444444;20;18.194444444444443;0;0;28.897849462365592;23.612903225806452;0;31.52777777777778;21.333333333333336;44.583333333333336;41.06666666666667;22.36111111111111;35.483870967741936;22.193548387096772;26.0752688172043;29.548387096774192;20.56451612903226,0.797385633,‚ 
a,Hiragana,0;0;33.666666666666664;0;0;19.166666666666668;20;44.666666666666664;20.166666666666664;20.166666666666664;0.16666666666666669;16.166666666666664;36.333333333333336;26.166666666666664;0;32.83333333333333;10.833333333333334;48.333333333333336;52.5;28.166666666666668;28.999999999999996;22.5;39.5;21.5;17.666666666666668,0.666666687,‚ 
i,Hiragana,9.311224489795919;0;0;22.75132275132275;12.5;23.214285714285715;0;0;0;25.892857142857146;25.396825396825395;0;0;0;0;26.147959183673468;0.7936507936507936;10.841836734693878;0;0;2.6785714285714284;34.65608465608466;21.301020408163264;0;0,0.992805779,‚¢
i,Hiragana,1.9736842105263157;0;0;41.05263157894737;13.815789473684212;37.5;0;0;0.3508771929824561;48.35526315789473;40.625;0;0;0;4.513888888888888;45.723684210526315;0;0;0;0;21.38157894736842;44.21052631578947;40.78947368421053;0;0,0.829787254,‚¢
i,Hiragana,22.15909090909091;0;0;9.090909090909092;22.15909090909091;32.41106719367589;0;0;0;34.18972332015811;31.818181818181817;0;0;0;11.363636363636363;15.217391304347828;20.158102766798418;0;0;0;0;29.734848484848484;19.841269841269842;0;0,0.923728824,‚¢
i,Hiragana,23.763736263736263;0;0;10.989010989010989;14.560439560439562;23.941798941798943;0;0;0;27.116402116402117;24.45054945054945;0;0;0;24.313186813186814;23.809523809523807;1.455026455026455;0;0;3.3068783068783065;3.708791208791209;34.61538461538461;9.971509971509972;0;0,1.053030252,‚¢
i,Hiragana,17.20430107526882;0;0;13.010752688172042;16.451612903225808;21.555555555555557;0;0;0;25;22.688172043010752;0;0;0;8.817204301075268;23.22222222222222;0;0;0;0;15.806451612903224;25.053763440860216;18.9247311827957;0;0,0.980392158,‚¢
u,Hiragana,0;24.84472049689441;6.1688311688311686;0;0;0.6211180124223602;8.074534161490684;12.662337662337661;3.002070393374741;0;15.270413573700955;10.71049840933192;9.75609756097561;12.83138918345705;32.97985153764581;0;0;0;0;30.434782608695656;0;0;0.4329004329004329;25.051759834368532;11.490683229813664,0.5454545617103577,‚¤
u,Hiragana,0;30.60941828254848;3.289473684210526;0;0;15.220483641536273;20.62588904694168;29.324324324324323;7.112375533428166;0;0;0;0.5263157894736842;12.742382271468145;34.07202216066482;0;0;0;0;37.83783783783784;0;0;0;22.299168975069254;21.74515235457064,0.5106382966041565,‚¤
u,Hiragana,0;16.839916839916842;12.474012474012476;0;0;16.132478632478634;16.666666666666664;27.77777777777778;16.98717948717949;12.82051282051282;0;0;0;0;25.155925155925157;0;0;0;0;28.525641025641026;0;0;0;21.725571725571726;10.706860706860708,0.7103825211524963,‚¤
u,Hiragana,0;15.856777493606138;18.58288770053476;0;0;20.816864295125164;19.894598155467722;28.650137741046834;20.28985507246377;18.181818181818183;0;0;0;0;27.74936061381074;0;0;0;0;33.33333333333333;0;0;0.6684491978609626;30.051150895140665;7.8005115089514065,0.6785714030265808,‚¤
u,Hiragana,0;4.583333333333333;33.47222222222222;0;0;19.142857142857142;17.142857142857142;27.57142857142857;21.428571428571427;7.285714285714286;0;0;0;0;35;0;0;0;0;32.57142857142858;0;0;0;20.97222222222222;17.916666666666668,0.5617977380752563,‚¤
e,Hiragana,0;17.38095238095238;7.949308755760369;0;0;12.664277180406213;24.691358024691358;37.51493428912784;25.555555555555554;0;0.6912442396313364;28.452380952380953;41.244239631336406;0;0;31.780167264038234;5.3086419753086425;6.332138590203106;25.555555555555554;0;0;0;0;21.071428571428573;25,1.10869562625885,‚¦
e,Hiragana,0;0;18.66125760649087;0;0;0;19.5959595959596;34.31372549019608;14.444444444444443;0;0;10.9717868338558;29.817444219066935;0;0;26.161616161616163;25.95959595959596;25.49019607843137;8.686868686868687;0;0;0;0;27.27272727272727;22.77951933124347,1.1292517185211182,‚¦
e,Hiragana,0;0.7056451612903225;20.915712799167537;0;0;1.6129032258064515;18.06640625;31.75403225806452;14.16015625;0;9.88553590010406;3.326612903225806;19.77107180020812;14.616935483870968;0;16.22983870967742;33.88671875;26.108870967741936;18.9453125;0;8.844953173777315;0;0;20.463709677419356;21.644120707596255,1,‚¦
e,Hiragana,0;26.851851851851855;2.933673469387755;0;0;0;2.7434842249657065;28.703703703703702;0.9602194787379973;0;8.801020408163266;22.883597883597883;33.80102040816326;29.629629629629626;0;21.164021164021165;44.03292181069959;36.64021164021164;24.005486968449933;0;10.58673469387755;0;0;13.88888888888889;27.4234693877551,1,‚¦
e,Hiragana,0;17.147435897435898;2.483974358974359;0;0;0;0.3205128205128205;21.153846153846153;5.8493589743589745;0;0;21.394230769230766;25.400641025641026;18.269230769230766;0;12.339743589743591;42.94871794871795;30.048076923076923;8.092948717948719;0;19.55128205128205;0;0;26.442307692307693;18.91025641025641,1.21875,‚¦
o,Hiragana,0;0;0;23.376623376623375;30.357142857142854;20.77922077922078;21.428571428571427;21.428571428571427;45.12987012987013;23.376623376623375;0;0;14.54272863568216;16.927899686520377;0;28.246753246753247;23.376623376623375;46.58385093167702;27.5974025974026;0.974025974025974;29.707792207792206;26.623376623376622;29.96894409937888;2.922077922077922;23.214285714285715,0.7872340679168701,‚¨
o,Hiragana,0;0;22.01086956521739;6.25;28.90625;20.442708333333336;21.875;40.48913043478261;21.875;17.96875;0;1.2096774193548387;31.276297335203367;0;0;12.760416666666666;27.604166666666668;39.53804347826087;23.177083333333336;16.666666666666664;16.015625;24.869791666666664;28.940217391304344;0;0,0.74842768907547,‚¨
o,Hiragana,0;0;10.742705570291777;7.1724137931034475;8.413793103448276;20.413793103448278;20.689655172413794;41.777188328912466;21.241379310344826;15.172413793103448;0;0;26.410256410256412;0;0;14.06896551724138;32.827586206896555;36.339522546419104;25.24137931034483;21.793103448275865;35.03448275862069;34.62068965517241;0.2652519893899204;0;4.689655172413794,0.8630136847496033,‚¨
o,Hiragana,0;0;26.75438596491228;0;38.15789473684211;24.561403508771928;26.041666666666668;53.94736842105263;25.416666666666664;16.447368421052634;0;0;35.96491228070175;0;0;38.377192982456144;27.291666666666664;52.63157894736842;31.25;24.780701754385966;37.280701754385966;28.125;37.06140350877193;0;7.456140350877193,0.8083333373069763,‚¨
o,Hiragana,0;9.656084656084655;14.972527472527473;28.04232804232804;0.5291005291005291;15.343915343915343;21.693121693121693;36.675824175824175;21.296296296296298;0.26455026455026454;8.55683269476373;25.54278416347382;36.07427055702917;21.455938697318008;20.178799489144318;29.894179894179896;16.26984126984127;10.714285714285714;0;26.851851851851855;31.746031746031743;28.439153439153444;0;0;19.31216931216931,0.9503546357154846,‚¨
ka,Hiragana,0;0;27.232142857142854;0;21.13095238095238;21.91358024691358;23.765432098765434;48.45679012345679;13.271604938271606;16.97530864197531;0;26.934523809523807;4.315476190476191;28.57142857142857;4.761904761904762;2.314814814814815;30.864197530864196;0;8.333333333333332;20.833333333333336;1.3392857142857142;1.3392857142857142;7.291666666666667;35.41666666666667;4.464285714285714,0.8695651888847351,‚©
ka,Hiragana,0;3.535353535353535;25.442834138486315;0;7.246376811594203;21.428571428571427;46.91558441558442;26.242236024844722;6.493506493506493;31.832298136645964;4.025764895330113;29.292929292929294;0.8051529790660225;24.579124579124578;18.357487922705314;31.987577639751553;1.2987012987012987;0;1.1363636363636365;29.81366459627329;9.98389694041868;0;6.280193236714976;32.659932659932664;3.542673107890499,0.8248175382614136,‚©
ka,Hiragana,0;0;25.94670406732118;0;12.096774193548388;22.63888888888889;20.833333333333336;46.666666666666664;24.305555555555554;19.72222222222222;0;7.258064516129033;23.14165497896213;2.553763440860215;28.091397849462364;0;30.97222222222222;0.2898550724637681;0;26.805555555555554;0.8064516129032258;17.876344086021508;0;22.58064516129032;14.919354838709678,0.7777777910232544,‚©
ka,Hiragana,0;0;22.839506172839506;1.1851851851851851;30.22222222222222;22.074074074074073;26.37037037037037;46.45061728395062;24.88888888888889;7.4074074074074066;0;26.71428571428571;1.488095238095238;0.2857142857142857;32;0;27.85185185185185;0;0;20.444444444444446;0;5.62962962962963;0;1.4814814814814816;34.22222222222222,0.9117646813392639,‚©
ka,Hiragana,0;0;26.851851851851855;0;16.049382716049383;22.596153846153847;23.244147157190636;45.51282051282051;7.190635451505016;31.89102564102564;0.4629629629629629;27.697262479871178;5.401234567901234;23.510466988727856;18.51851851851852;1.6025641025641024;30.93645484949833;0;0.8361204013377926;25;27.77777777777778;3.7037037037037033;8.796296296296296;36.07085346215781;6.172839506172839,0.8872180581092834,‚©
ki,Hiragana,0;5.88235294117647;21.936274509803923;8.184143222506394;18.75;4.166666666666666;19.235836627140976;44.19191919191919;31.752305665349144;14.772727272727273;16.176470588235293;19.30946291560102;41.05392156862745;2.3017902813299234;0;13.005050505050505;0;12.626262626262626;0;0;8.946078431372548;22.506393861892583;22.181372549019606;18.414322250639387;6.862745098039216,0.7023809552192688,‚«
ki,Hiragana,3.2407407407407405;41.17647058823529;8.564814814814815;31.61764705882353;17.36111111111111;28.935185185185187;45.34313725490196;63.19444444444444;31.862745098039213;28.009259259259263;23.37962962962963;31.127450980392158;42.129629629629626;0;0;0;0;13.194444444444445;4.901960784313726;0;8.101851851851851;29.65686274509804;28.009259259259263;27.205882352941174;6.481481481481481,0.7333333492279053,‚«
ki,Hiragana,1.0582010582010581;35.55555555555556;25.925925925925924;7.777777777777778;0;27.513227513227513;48.888888888888886;32.804232804232804;21.666666666666668;0;23.10405643738977;24.814814814814813;35.978835978835974;0;0;0.1763668430335097;0.5555555555555556;14.991181657848324;5.7407407407407405;0;1.763668430335097;28.51851851851852;26.278659611992943;25.74074074074074;21.340388007054674,0.7629629373550415,‚«
ki,Hiragana,0;36.705882352941174;4.5;22.823529411764707;6.352941176470588;19.607843137254903;34.80392156862745;62.760416666666664;26.225490196078432;23.284313725490197;11.058823529411764;22.823529411764707;48.75;33.411764705882355;0;0;1.4705882352941175;0.26041666666666663;25.245098039215684;0;0;4.941176470588235;32;29.64705882352941;28.235294117647058,0.6829268336296082,‚«
ki,Hiragana,0;38.865546218487395;0;13.865546218487395;9.873949579831933;24.137931034482758;34.48275862068966;48.46743295019157;36.71399594320487;25.15212981744422;15.546218487394958;26.05042016806723;53.769841269841265;9.453781512605042;0;0;0;2.681992337164751;29.006085192697768;0;13.865546218487395;25.840336134453786;24.6031746031746;25;17.857142857142858,0.6056337952613831,‚«
ku,Hiragana,0;0;0.53475935828877;31.060606060606062;28.87700534759358;4.27807486631016;34.090909090909086;35.02673796791444;8.080808080808081;0;51.406649616368284;23.42995169082126;0;0;0;0;16.161616161616163;37.967914438502675;10.606060606060606;0;0;0;0;28.28282828282828;34.75935828877005,0.7837837934494019,‚­
ku,Hiragana,0;0;22.5;26.666666666666668;0;0;29.333333333333332;25.25;0;0;39.66346153846153;15.384615384615385;0;0;0;31;32.800000000000004;12.25;0;0;0;0;19.25;32.266666666666666;28.999999999999996,0.6190476417541504,‚­
ku,Hiragana,0;0;8.847736625514404;29.218106995884774;28.39506172839506;1.02880658436214;31.069958847736622;23.456790123456788;0;0;46.230158730158735;4.563492063492063;0;0;0;16.46090534979424;28.600823045267486;29.01234567901235;5.761316872427984;0;0;0;0.6172839506172839;23.045267489711936;36.21399176954733,0.6617646813392639,‚­
ku,Hiragana,0;0;5.769230769230769;40.723981900452486;2.7149321266968327;0;11.294117647058824;35.77777777777777;0.4705882352941176;0;24.660633484162897;28.733031674208142;0;0;0;31.294117647058822;30.58823529411765;18.22222222222222;0;0;0;0;14.743589743589745;30.542986425339368;28.054298642533936,0.671875,‚­
ku,Hiragana,0;0;5.555555555555555;38.095238095238095;39.285714285714285;13.157894736842104;39.849624060150376;35.338345864661655;3.7593984962406015;0;59.12698412698413;20.634920634920633;0;0;0;0;21.804511278195488;43.984962406015036;24.06015037593985;0;0;0;0;26.190476190476193;32.142857142857146,0.760869562625885,‚­
ke,Hiragana,27.472527472527474;0;0;17.994505494505493;0;24.45054945054945;1.510989010989011;21.428571428571427;42.71978021978022;21.565934065934066;24.501424501424502;0;0;26.495726495726498;0;27.884615384615387;0;0;25.82417582417583;0;13.873626373626374;0;7.571428571428572;20.604395604395602;0,0.9280575513839722,‚¯
ke,Hiragana,26.400000000000002;0;0;15.68;0;26.88;5.4399999999999995;16;39.519999999999996;15.36;24;4.16;12;36.64;11.360000000000001;28.000000000000004;0;0;28.48;0;15.52;0;0;29.759999999999998;0,1,‚¯
ke,Hiragana,28.030303030303028;0;0;12.878787878787879;0.5681818181818182;27.27272727272727;8.90909090909091;10.857142857142858;20;12.181818181818182;28.40909090909091;2.083333333333333;16.46825396825397;39.015151515151516;35.22727272727273;29.63636363636364;0;0;28.909090909090907;4;32.765151515151516;5.303030303030303;0.5952380952380952;26.325757575757574;0,0.8934426307678223,‚¯
ke,Hiragana,29.475308641975307;0;0;20.679012345679013;0;24.382716049382715;1.2345679012345678;4.166666666666666;29.32098765432099;16.203703703703702;22.22222222222222;7.890499194847021;21.73913043478261;41.54589371980676;10.628019323671497;25.154320987654323;0;0;26.234567901234566;0;23.456790123456788;0;0;26.38888888888889;0,1.1260504722595215,‚¯
ke,Hiragana,34.375;0;0;4.166666666666666;17.291666666666668;30.833333333333336;1.25;12.5;16.875;29.583333333333332;30;2.2916666666666665;16.666666666666664;20.833333333333336;32.708333333333336;32.916666666666664;0;0;8.333333333333332;19.583333333333332;24.583333333333332;0;0;33.33333333333333;3.3333333333333335,0.8333333134651184,‚¯
ko,Hiragana,24.013157894736842;44.73684210526316;39.23611111111111;41.118421052631575;35.85526315789473;2.1052631578947367;0;0;17.894736842105264;20.350877192982455;0;0;0;0;0;31.2280701754386;1.7543859649122806;0;0;0;14.802631578947366;41.118421052631575;41.66666666666667;40.131578947368425;44.40789473684211,1.2051281929016113,‚±
